RowNum,Transect_id,year,Total_cm,Code,Full_name,Origin,code_new,fullname_new,Origin_new
990,1mbs2,2016,9,gras,Unidentified grass,NA,gras,unchanged,
992,1mbs2,2016,143,forb,Unidentified forb,NA,unchanged,unchanged,
993,1mbs2,2016,23,forb,Unidentified forb,NA,unchanged,unchanged,
1003,1mbs2,2019,903,erxx,Erigeron spp.,NA,unchanged,Erigeron sp.,native
1006,1mbs2,2019,64,cryp,Cryptogam,NA,unchanged,unchanged,
1007,1mbs2,2019,145,agxx2,Agropyron sp.,NA,unchanged,unchanged,
1012,1mbs2,2019,129,care,Carex spp.,native,care,Carex sp.,
1018,1mbs2,2019,17,astr,Aster sp.,NA,unchanged,unchanged,
1020,1mbs2,2019,2,gras,Unidentified grass,NA,gras,unchanged,
1021,1mbs2,2019,11,comp,unknown Composite,NA,unchanged,unchanged,
1022,1mbs2,2019,6,forb,Unidentified forb,NA,unchanged,unchanged,
1030,1mbs2,2019,2,erxx,Erigeron spp.,NA,unchanged,Erigeron sp.,native
1040,1u1,1997,12,gras,Unidentified grass,NA,gras,unchanged,
1042,1u1,1997,243,casp,Carex spp.,native,care,Carex sp.,
1049,1u1,1997,10,forb,Unidentified forb,NA,unchanged,unchanged,
1051,1u1,1997,34,gras,Unidentified grass,NA,gras,unchanged,
1062,1u1,1997,10,cisp,Cirsium spp.,native,cine,Cirsium neomexicanum,
1066,1u1,1997,5,cisp,Cirsium spp.,native,cine,Cirsium neomexicanum,
1072,1u1,1997,3,shru,Unidentified shrub,NA,unchanged,unchanged,
1076,1u1,1997,3,gras2,Unidentified grass,NA,gras,unchanged,
1083,1u1,1998,225,casp,Carex spp.,native,care,Carex sp.,
1086,1u1,1998,6,forb,Unidentified forb,NA,unchanged,unchanged,
1093,1u1,1998,39,gras,Unidentified grass,NA,gras,unchanged,
1106,1u1,1998,13,cisp,Cirsium spp.,native,cine,Cirsium neomexicanum,
1110,1u1,1998,37,tree,Unidentified tree,NA,unchanged,unchanged,
1114,1u1,2008,586,caxx,Carex spp.,native,care,Carex sp.,
1118,1u1,2008,5,soxx,Solidago spp.,NA,unchanged,Solidago sp.,native
1120,1u1,2008,200,arxx,Aristida spp.,NA,unchanged,Aristida sp.,native
1125,1u1,2008,34,gexx,Geranium species,native,geca,Geranium caespitosum,
1140,1u1,2013,137,cixx,Cirsium sp.,native,cine,Cirsium neomexicanum,
1153,1u1,2013,108,laxx,Lappula sp.,NA,unchanged,unchanged,
1159,1u1,2013,18,care,Carex spp.,native,care,Carex sp.,
1160,1u1,2013,10,astr,Aster sp.,NA,unchanged,unchanged,
1165,1u1,2016,1050,gras,Unidentified grass,NA,gras,unchanged,
1170,1u1,2016,347,forb,Unidentified forb,NA,unchanged,unchanged,
1173,1u1,2016,16,forb,Unidentified forb,NA,unchanged,unchanged,
1176,1u1,2016,2,subs,Unidentified subshrub,NA,unchanged,unchanged,
1178,1u1,2016,23,subs,Unidentified subshrub,NA,unchanged,unchanged,
1189,1u1,2019,93,agxx2,Agropyron sp.,NA,unchanged,unchanged,
1194,1u1,2019,50,care,Carex spp.,native,care,Carex sp.,
1195,1u1,2019,24,gras,Unidentified grass,NA,gras,unchanged,
1201,1u1,2019,6,hevi,Heterotheca villosa,native,unchanged,unchanged,
1202,1u1,2019,28,arxx,Aristida spp.,NA,unchanged,Aristida sp.,native
1208,1u1,2019,17,erxx,Erigeron spp.,NA,unchanged,Erigeron sp.,native
1209,1u1,2019,27,cine,Cirsium neomexicanum,native,unchanged,unchanged,
1212,1u1,2019,2,forb,Unidentified forb,NA,unchanged,unchanged,
1213,1u1,2019,9,chxx,Chenopodium sp.,NA,unchanged,unchanged,
1226,1u2,1997,60,forb,Unidentified forb,NA,unchanged,unchanged,
1233,1u2,1997,8,gras2,Unidentified grass,NA,gras,unchanged,
1236,1u2,1997,29,casp,Carex spp.,native,care,Carex sp.,
1260,1u2,1998,11,forb,Unidentified forb,NA,unchanged,unchanged,
1262,1u2,1998,12,casp,Carex spp.,native,care,Carex sp.,
1266,1u2,1998,4,gras2,Unidentified grass,NA,gras,unchanged,
1276,1u2,2008,60,caxx,Carex spp.,native,care,Carex sp.,
1277,1u2,2008,133,sexx,Senecio sp.,NA,unchanged,unchanged,
1280,1u2,2008,54,soxx,Solidago spp.,native,sowr,Solidago wrightii,
1294,1u2,2013,35,caxx,Carex spp.,native,care,Carex sp.,
1307,1u2,2013,8,erxx2,Eriogonum sp.,NA,unchanged,unchanged,native
1312,1u2,2016,2755,gras,Unidentified grass,NA,gras,unchanged,
1317,1u2,2016,10,gras,Unidentified grass,NA,gras,unchanged,
1318,1u2,2016,565,forb,Unidentified forb,NA,unchanged,unchanged,
1319,1u2,2016,35,forb,Unidentified forb,NA,unchanged,unchanged,
1334,1u2,2019,53,comp,unknown Composite,NA,unchanged,unchanged,
1335,1u2,2019,11,anma2,Anaphalis margaritacea,native,unchanged,unchanged,
1341,1u2,2019,4,sctr,Senecio triangularis,native,unchanged,unchanged,
1343,1u2,2019,6,care,Carex spp.,native,care,Carex sp.,
1345,1u2,2019,2,gras,Unidentified grass,NA,gras,unchanged,
1361,2has1,1997,35,casp,Carex spp.,native,care,Carex sp.,
1369,2has1,1997,32,gras2,Unidentified grass,NA,gras,unchanged,
1370,2has1,1997,1,forb,Unidentified forb,NA,unchanged,unchanged,
1382,2has1,1998,103,casp,Carex spp.,native,care,Carex sp.,
1390,2has1,1998,20,gras,Unidentified grass,NA,gras,unchanged,
1405,2has1,2008,432,caxx,Carex spp.,native,care,Carex sp.,
1411,2has1,2008,10,anxx,Antennaria spp.,NA,unchanged,Antennaria sp.,
1421,2has1,2013,107,caxx,Carex spp.,native,care,Carex sp.,
