"","plot","year","month","spei"
"231","3MAS2","1981","05",1.22973512802755
"232","3MBS1","1981","05",1.22973512802755
"233","3MBS2","1981","05",1.22973512802755
"234","3MBS3","1981","05",1.22973512802755
"235","3U2","1981","05",1.21089652434173
"236","3HBU1","1981","05",1.20003862233577
"237","3HAU1","1981","05",1.20003862233577
"238","3MAU1","1981","05",1.0923147716403
"239","3LAU1","1981","05",1.0923147716403
"240","3MAU2","1981","05",1.0923147716403
"241","3MBU2","1981","05",1.03180809625248
"242","3MBU1","1981","05",1.03180809625248
"243","3HAU2","1981","05",1.03180809625248
"244","3HBU2","1981","05",1.03180809625248
"245","3U1","1981","05",1.03180809625248
"246","1HAS1","1981","06",0.742171240254716
"247","1HAS2","1981","06",0.786747034261032
"248","1HBS1","1981","06",0.786747034261032
"249","1HBS2","1981","06",0.742171240254716
"250","1MAS1","1981","06",0.786747034261032
"251","1MAS2","1981","06",0.742171240254716
"252","1MBS1","1981","06",0.786747034261032
"253","1MBS2","1981","06",0.786747034261032
"254","1U1","1981","06",0.786747034261032
"255","1U2","1981","06",0.786747034261032
"256","2HAS1","1981","06",0.871943759007139
"257","2HAS2","1981","06",0.871943759007139
"258","2HAU1","1981","06",0.871943759007139
"259","2HAU2","1981","06",0.871943759007139
"260","2HBS1","1981","06",0.94190304327653
"261","2HBS2","1981","06",0.871943759007139
"262","2HBU1","1981","06",0.742171240254716
"263","2HBU2","1981","06",0.871943759007139
"264","2MAS1","1981","06",0.94190304327653
"265","2MAS2","1981","06",0.871943759007139
"266","2MAU1","1981","06",0.871943759007139
"267","2MAU2","1981","06",0.871943759007139
"268","2MBS1","1981","06",0.94190304327653
"269","2MBS2","1981","06",0.871943759007139
"270","2MBS3","1981","06",0.871943759007139
"271","2MBU1","1981","06",0.871943759007139
"272","2MBU2","1981","06",0.871943759007139
"273","2U1","1981","06",0.94190304327653
"274","2U2","1981","06",0.94190304327653
"275","3HAS1","1981","06",0.94190304327653
"276","3HAS2","1981","06",0.871943759007139
"277","3HBS1","1981","06",0.94190304327653
"278","3HBS2","1981","06",0.94190304327653
"279","3MAS1","1981","06",0.94190304327653
"280","3MAS2","1981","06",0.94190304327653
"281","3MBS1","1981","06",0.94190304327653
"282","3MBS2","1981","06",0.94190304327653
"283","3MBS3","1981","06",0.94190304327653
"284","3U2","1981","06",0.871943759007139
"285","3HBU1","1981","06",0.742171240254716
"286","3HAU1","1981","06",0.742171240254716
"287","3MAU1","1981","06",0.646454954780947
"288","3LAU1","1981","06",0.646454954780947
"289","3MAU2","1981","06",0.646454954780947
"290","3MBU2","1981","06",0.733987978824621
"291","3MBU1","1981","06",0.733987978824621
"292","3HAU2","1981","06",0.733987978824621
"293","3HBU2","1981","06",0.733987978824621
"294","3U1","1981","06",0.733987978824621
"295","1HAS1","1981","07",1.02457418822634
"296","1HAS2","1981","07",1.0903496791065
"297","1HBS1","1981","07",1.0903496791065
"298","1HBS2","1981","07",1.02457418822634
"299","1MAS1","1981","07",1.0903496791065
"300","1MAS2","1981","07",1.02457418822634
"301","1MBS1","1981","07",1.0903496791065
"302","1MBS2","1981","07",1.0903496791065
"303","1U1","1981","07",1.0903496791065
"304","1U2","1981","07",1.0903496791065
"305","2HAS1","1981","07",1.08499352778432
"306","2HAS2","1981","07",1.08499352778432
"307","2HAU1","1981","07",1.08499352778432
"308","2HAU2","1981","07",1.08499352778432
"309","2HBS1","1981","07",1.14827374269421
"310","2HBS2","1981","07",1.08499352778432
"311","2HBU1","1981","07",1.02457418822634
"312","2HBU2","1981","07",1.08499352778432
"313","2MAS1","1981","07",1.14827374269421
"314","2MAS2","1981","07",1.08499352778432
"315","2MAU1","1981","07",1.08499352778432
"316","2MAU2","1981","07",1.08499352778432
"317","2MBS1","1981","07",1.14827374269421
"318","2MBS2","1981","07",1.08499352778432
"319","2MBS3","1981","07",1.08499352778432
"320","2MBU1","1981","07",1.08499352778432
"321","2MBU2","1981","07",1.08499352778432
"322","2U1","1981","07",1.14827374269421
"323","2U2","1981","07",1.14827374269421
"324","3HAS1","1981","07",1.14827374269421
"325","3HAS2","1981","07",1.08499352778432
"326","3HBS1","1981","07",1.14827374269421
"327","3HBS2","1981","07",1.14827374269421
"328","3MAS1","1981","07",1.14827374269421
"329","3MAS2","1981","07",1.14827374269421
"330","3MBS1","1981","07",1.14827374269421
"331","3MBS2","1981","07",1.14827374269421
"332","3MBS3","1981","07",1.14827374269421
"333","3U2","1981","07",1.08499352778432
"334","3HBU1","1981","07",1.02457418822634
"335","3HAU1","1981","07",1.02457418822634
"336","3MAU1","1981","07",0.867131606851904
"337","3LAU1","1981","07",0.867131606851904
"338","3MAU2","1981","07",0.867131606851904
"339","3MBU2","1981","07",0.900163014602126
"340","3MBU1","1981","07",0.900163014602126
"341","3HAU2","1981","07",0.900163014602126
"342","3HBU2","1981","07",0.900163014602126
"343","3U1","1981","07",0.900163014602126
"344","1HAS1","1981","08",0.900437061432005
"345","1HAS2","1981","08",0.939070081880766
"346","1HBS1","1981","08",0.939070081880766
"347","1HBS2","1981","08",0.900437061432005
"348","1MAS1","1981","08",0.939070081880766
"349","1MAS2","1981","08",0.900437061432005
"350","1MBS1","1981","08",0.939070081880766
"351","1MBS2","1981","08",0.939070081880766
"352","1U1","1981","08",0.939070081880766
"353","1U2","1981","08",0.939070081880766
"354","2HAS1","1981","08",1.11700783373308
"355","2HAS2","1981","08",1.11700783373308
"356","2HAU1","1981","08",1.11700783373308
"357","2HAU2","1981","08",1.11700783373308
"358","2HBS1","1981","08",1.20672355747537
"359","2HBS2","1981","08",1.11700783373308
"360","2HBU1","1981","08",0.900437061432005
"361","2HBU2","1981","08",1.11700783373308
"362","2MAS1","1981","08",1.20672355747537
"363","2MAS2","1981","08",1.11700783373308
"364","2MAU1","1981","08",1.11700783373308
"365","2MAU2","1981","08",1.11700783373308
"366","2MBS1","1981","08",1.20672355747537
"367","2MBS2","1981","08",1.11700783373308
"368","2MBS3","1981","08",1.11700783373308
"369","2MBU1","1981","08",1.11700783373308
"370","2MBU2","1981","08",1.11700783373308
"371","2U1","1981","08",1.20672355747537
"372","2U2","1981","08",1.20672355747537
"373","3HAS1","1981","08",1.20672355747537
"374","3HAS2","1981","08",1.11700783373308
"375","3HBS1","1981","08",1.20672355747537
"376","3HBS2","1981","08",1.20672355747537
"377","3MAS1","1981","08",1.20672355747537
"378","3MAS2","1981","08",1.20672355747537
"379","3MBS1","1981","08",1.20672355747537
"380","3MBS2","1981","08",1.20672355747537
"381","3MBS3","1981","08",1.20672355747537
"382","3U2","1981","08",1.11700783373308
"383","3HBU1","1981","08",0.900437061432005
"384","3HAU1","1981","08",0.900437061432005
"385","3MAU1","1981","08",0.807182574813822
"386","3LAU1","1981","08",0.807182574813822
"387","3MAU2","1981","08",0.807182574813822
"388","3MBU2","1981","08",0.927554955325407
"389","3MBU1","1981","08",0.927554955325407
"390","3HAU2","1981","08",0.927554955325407
"391","3HBU2","1981","08",0.927554955325407
"392","3U1","1981","08",0.927554955325407
"393","1HAS1","1981","09",0.965036270231505
"394","1HAS2","1981","09",0.969761023584895
"395","1HBS1","1981","09",0.969761023584895
"396","1HBS2","1981","09",0.965036270231505
"397","1MAS1","1981","09",0.969761023584895
"398","1MAS2","1981","09",0.965036270231505
"399","1MBS1","1981","09",0.969761023584895
"400","1MBS2","1981","09",0.969761023584895
"401","1U1","1981","09",0.969761023584895
"402","1U2","1981","09",0.969761023584895
"403","2HAS1","1981","09",1.13930772262141
"404","2HAS2","1981","09",1.13930772262141
"405","2HAU1","1981","09",1.13930772262141
"406","2HAU2","1981","09",1.13930772262141
"407","2HBS1","1981","09",1.20986710525142
"408","2HBS2","1981","09",1.13930772262141
"409","2HBU1","1981","09",0.965036270231505
"410","2HBU2","1981","09",1.13930772262141
"411","2MAS1","1981","09",1.20986710525142
"412","2MAS2","1981","09",1.13930772262141
"413","2MAU1","1981","09",1.13930772262141
"414","2MAU2","1981","09",1.13930772262141
"415","2MBS1","1981","09",1.20986710525142
"416","2MBS2","1981","09",1.13930772262141
"417","2MBS3","1981","09",1.13930772262141
"418","2MBU1","1981","09",1.13930772262141
